Publisher,Global_Sales,Critic_Score,User_Score,MetaCritic_predicted
Eidos Interactive,0.3744094488188976,69.16535433070867,7.362992125984253,70.51294481817975
Electronic Arts,0.9249433573635427,75.09371781668384,7.142121524201854,71.69519313657446
Empire Interactive,0.2532142857142857,60.214285714285715,6.825,68.02962401098232
En Masse Entertainment,0.42,77.0,6.8,68.76481239540149
Encore,0.01,45.0,7.3,71.43677929275997
Enix Corporation,0.38,73.5,8.1,74.43857888278427
Enterbrain,0.08666666666666667,64.0,8.166666666666666,75.18333095299316
Evolved Games,0.04,48.8,5.74,62.919645142941434
Falcom Corporation,0.13333333333333333,79.0,8.366666666666667,77.00958563465926
Flashpoint Games,0.04,70.0,8.6,77.26872548968419
Focus Home Interactive,0.16228571428571428,64.74285714285715,6.725714285714286,67.89096067969479
Fox Interactive,0.16,61.0,7.5,72.75166698098278
From Software,0.07666666666666667,53.833333333333336,7.016666666666667,69.58123009617424
FuRyu,0.12333333333333334,64.33333333333333,7.466666666666666,71.78189222907913
FuRyu Corporation,0.03,47.333333333333336,5.366666666666667,59.021912264627275
Funbox Media,0.06,56.5,6.7,67.3464870815429
Funcom,0.1,78.5,8.3,76.42927994123514
Funsta,0.13,60.0,8.3,75.60039600459692
G.Rev,0.01,77.0,7.5,68.58692178742749
GOA,0.02,86.0,7.9,73.95075594028509
GT Interactive,2.8333333333333335,86.66666666666667,8.700000000000001,79.59618278373723
Game Factory,0.242,54.0,6.24,63.467326154147216
Gamebridge,0.365,56.5,7.45,69.21307201950057
Gamecock,0.0475,50.75,6.075,63.05943190087336
Gaslamp Games,0.05,58.0,3.8,53.8324566721802
Gathering of Developers,0.10875,61.75,7.1375,70.5323351702409
Gearbox Software,0.030000000000000002,81.5,7.55,73.69116943864584
Genki,0.3833333333333333,51.333333333333336,6.666666666666667,66.95631302059303
Ghostlight,0.23399999999999999,75.4,7.92,74.8352956966845
Global A Entertainment,0.03,70.0,6.4,66.57482518717443
Global Star,0.28250000000000003,55.85,6.409999999999999,66.3983096172498
